"MIP","STDIP","EKIP","SIP","MC","STDC","EKC","SC","TARGET"
"76.5234375","34.08719629","2.024270196","8.131774734","7.983277592","36.657363","4.888889599","23.67535368","1"
"81.8203125","35.39209693","1.015847131","3.733023787","2.549331104","21.18243912","8.808880917","79.95013023","0"
"81.9375","35.63108501",".896465308","3.3318637","3.505016722","18.93018704","6.877126304","57.21234667","0"
"73.6015625","37.38928236","1.97830008","7.076542863","5.881270903","30.21748287","5.758598016","33.90977932","1"
"82.703125","38.00747447",".887823559","2.544943671","1.641304348","13.15851135","11.09366793","155.0446602","0"
"81.9296875","34.51770008",".829346377","3.887459323","3.349498328","20.12947035","8.304477763","79.76471417","0"
"82.8828125","39.13131361",".779404515","2.205462374",".988294314","13.81288708","15.17524002","240.0273283","0"
"81.921875","37.05540813",".734606908","2.742743228","1.62458194","12.46830219","11.86918524","184.4690652","0"
"74.25","40.62653843","1.581929463","3.703968084","10.81939799","41.9128634","4.136097276","16.55925567","1"
"81.6015625","44.27935817",".760394919","1.211753003","2.762541806","15.54733203","7.963526918","84.5723625","0"
"74.515625","34.35408099","1.863238661","7.586409245","5.974916388","31.30726522","5.486881071","29.91894199","1"
"82.0546875","59.29814876","1.202599271",".727364174",".289297659","7.4488166","33.4897547","1140.353233","0"
"82.203125","36.47202682",".651793668","2.608428668","3.015050167","16.832932","7.461255652","70.16540412","0"
"81.6796875","54.5455563",".797273443",".169372007","61.17140468","82.58646964","1.053596065","-.270882096","0"
"82.34375","40.94364219",".820985502","1.505166171","2.627926421","14.84291852","8.460410223","97.04789414","0"
"82.9375","36.952831",".697731316","2.350332507","3.066053512","19.99577258","7.67036815","64.33345306","0"
"71.984375","79.08440748","1.086364722","-.5356664","176.0150502","60.6623401","-1.081765182",".377426241","1"
"82.9453125","50.37985532",".641990239",".167736473","2.005852843","15.11674079","9.799620958","115.2771577","0"
"71.015625","33.65727642","2.378285668","9.636837204","15.82023411","52.43958421","3.382534948","10.30313808","1"
"76.0546875","60.41294209","1.432916528",".936654202","12.50250836","42.66156574","3.993994981","15.72042199","1"
"73.140625","38.62130532","2.224342588","7.188845541","23.82608696","59.84781303","2.506847238","5.015605136","1"
"72.1953125","36.16111054","2.60122326","9.521297542","10.63628763","41.68584516","4.206409502","17.25083221","1"
"77.3828125","39.1695276","2.213106287","7.49103005","17.27173913","48.32784746","3.183798985","9.779543823","1"
"82.640625","39.86083886",".493866137","1.563676539","2.783444816","16.1302939","7.520254168","73.38803805","0"
"74.8203125","54.30116159","1.777321041","2.123472569","52.96404682","76.96192786","1.231877612",".199027295","1"
"82.21875","35.5433137","1.224273595","4.212206815","3.908026756","21.43606584","6.535903936","48.28877815","0"
"82.109375","37.38717076",".811527731","2.598979386","4.288461538","27.50107144","6.936112695","49.33200563","0"
"81.5546875","38.91834573",".864430945","2.254707941","4.240802676","27.46202378","6.846833321","47.31071086","0"
"82.546875","38.85788598",".685181265","1.843303665","2.456521739","16.61890216","9.019758569","95.72392251","0"
"75.953125","43.1075797","1.142332703","3.007318929","5.222408027","24.38005311","5.239661044","29.71430512","1"
"82.578125","37.2713046",".840183608","2.812515186",".873745819","12.43807187","16.85218248","306.2445594","0"
"82.296875","34.29703872",".871774634","3.877460063","4.02006689","21.44155778","6.744993287","52.76769416","0"
"72.7421875","34.7300406","2.048370952","8.714217534","4.142140468","25.96337522","6.859046095","48.94787763","1"
"70.7421875","44.61278651","1.474642847","2.703270007","139.0451505","84.47013465","-.821681651","-.956543281","1"
"76.8359375","44.27008325","1.883284618","4.619828099","1.822742475","14.56557142","12.68602242","182.2400012","1"
"71.359375","39.08079259","2.287652077","7.856506241","56.75334448","80.17684382",".955179239","-.646309295","1"
"72.3359375","41.20172883","2.290134316","7.29838129","35.80016722","61.18147822","1.891264727","2.913210965","1"
"82.6796875","37.76674579",".699401979","2.305708559","1.464046823","12.79787079","12.4368456","185.31126","0"
"82.3203125","34.89357337",".854997177","3.588773285","1.443979933","13.35310414","11.36030675","154.8767814","0"
"75.734375","34.44594596","1.974610962","8.210833977","12.33277592","36.37485482","3.623148117","14.51918499","1"
"75.7265625","43.68543716","1.801754237","4.555957337","10.12792642","42.69567807","4.295452708","17.41990159","1"
"74.546875","39.23723108","2.382242416","7.96573733","13.0493311","44.73781003","3.707019777","13.32144303","1"
"73.78125","35.79475728","2.048063948","7.981250084","12.42056856","45.11667756","3.717838389","12.73231408","1"
"73","38.8882614","2.342840717","6.780450648","133.8787625","68.69177328","-.283185658","-.436295877","1"
"74.2578125","47.67389978","2.019289295","4.775811477","15.15468227","49.24629575","3.364227521","10.37875397","1"
"71.6875","37.18109188","2.41964783","9.425293376","13.37876254","45.80014587","3.709283857","13.24802578","1"
"77.0078125","47.94047352","1.236140289","1.925759578","22.07525084","55.06049597","2.468206375","4.924128865","1"
"71.3984375","47.29517349","1.317459045","2.340411994","17.1145485","46.86283003","3.070346153","9.405187883","1"
"75.5546875","44.96748975","1.906108429","4.063128989","26.87625418","57.57231664","2.250798135","4.096560177","1"
"71.8359375","41.58458574","1.36749263","3.81361683","2.822742475","21.74414967","8.886982961","83.68346619","1"
"74.1171875","51.94763305","1.738493959","2.645528543","9.326923077","35.35424141","4.593520548","21.91707398","1"
"76.9453125","39.99673983","2.180057856","6.701225373","35.3729097","62.64764289","1.833560009","2.580722771","1"
"71.9375","38.1859656","1.911070577","5.521995558","14.90719064","45.99168074","3.295937555","10.25347973","1"
"77.0859375","43.39193246","1.620462497","4.146347512","10.59615385","43.98006106","4.322443603","17.86023468","1"
"76.0546875","48.4383159","1.556953438","2.913279964","15.24414716","44.70096395","3.087893349","8.995598149","1"
"76.0390625","39.01390024","1.434969928","4.490879432","8.325250836","39.12464514","4.763161186","21.51571145","1"
